step,train_loss,val_loss
100,4.431884765625,
200,3.888641357421875,
300,2.7265310287475586,
400,1.8058613538742065,
500,1.8919222354888916,
500,1.8919222354888916,1.7693809747695923
600,1.7629363536834717,
700,1.5830318927764893,
800,1.6414144039154053,
900,1.1860438585281372,
1000,1.671123743057251,
1000,1.671123743057251,1.4061221289634704
1100,1.6569644212722778,
1200,1.3435373306274414,
1300,1.4909589290618896,
1400,1.4214611053466797,
1500,1.1606193780899048,
1500,1.1606193780899048,1.2703622460365296
1600,1.069637656211853,
1700,1.6267033815383911,
1800,1.3440853357315063,
1900,1.3073747158050537,
2000,1.5201770067214966,
2000,1.5201770067214966,1.213373373746872
2100,1.2439558506011963,
2200,1.022005319595337,
2300,0.9855998754501343,
2400,1.413935661315918,
2500,0.9312816858291626,
2500,0.9312816858291626,1.0999643301963806
2600,1.0158500671386719,
2700,1.1583518981933594,
2800,1.096030592918396,
2900,1.0883764028549194,
3000,0.879827082157135,
3000,0.879827082157135,0.9993963038921356
3100,0.9803962707519531,
3200,1.1363344192504883,
3300,1.0545339584350586,
3400,0.8546051383018494,
3500,0.8367420434951782,
3500,0.8367420434951782,0.8976082128286361
3600,1.117983341217041,
3700,0.9879750609397888,
3800,0.9258740544319153,
3900,0.8665136098861694,
4000,0.8248687386512756,
4000,0.8248687386512756,0.8191933673620224
4100,0.7643250226974487,
4200,0.7880512475967407,
4300,0.7929022312164307,
4400,0.6315490007400513,
4500,0.6981599926948547,
4500,0.6981599926948547,0.7647427064180374
4600,1.012561559677124,
4700,0.6465350985527039,
4800,0.6686084270477295,
4900,0.5885142087936401,
5000,0.6524513959884644,
5000,0.6524513959884644,0.7372830694913864
5100,0.5450202226638794,
5200,0.5391002893447876,
5300,0.6176618933677673,
5400,0.6638652086257935,
5500,0.6888370513916016,
5500,0.6888370513916016,0.6947269982099533
5600,0.6540142297744751,
5700,0.44986051321029663,
5800,0.7869871854782104,
5900,0.8428225517272949,
6000,0.5208955407142639,
6000,0.5208955407142639,0.6712836110591889
6100,0.802749514579773,
6200,0.5693233013153076,
6300,0.7734360098838806,
6400,0.8709486126899719,
6500,0.6510149836540222,
6500,0.6510149836540222,0.6615029346942901
6600,0.5863516330718994,
6700,0.862716019153595,
6800,0.6507830023765564,
6900,0.7827980518341064,
7000,0.7269225120544434,
7000,0.7269225120544434,0.6368401384353638
7100,0.46499282121658325,
7200,0.7678705453872681,
7300,0.3922627866268158,
7400,0.6138803958892822,
7500,0.4935609996318817,
7500,0.4935609996318817,0.6159188181161881
7600,0.7372389435768127,
7700,0.6131346821784973,
7800,0.4009504020214081,
7900,0.6874794363975525,
8000,0.3128919005393982,
8000,0.3128919005393982,0.6030601125955581
8100,0.7286569476127625,
8200,0.5900260210037231,
8300,0.5474324822425842,
8400,0.41303569078445435,
8500,0.4056253433227539,
8500,0.4056253433227539,0.5948331612348556
8600,0.48176708817481995,
8700,0.34637799859046936,
8800,0.5212112665176392,
8900,0.3907751739025116,
9000,0.5461283922195435,
9000,0.5461283922195435,0.5736854994297027
9100,0.4470580220222473,
9200,0.5021278262138367,
9300,0.6673048734664917,
9400,0.604558527469635,
9500,0.6658073663711548,
9500,0.6658073663711548,0.5633647882938385
9600,0.5748181343078613,
9700,0.578983724117279,
9800,0.6815445423126221,
9900,0.4659179151058197,
10000,0.5001367926597595,
10000,0.5001367926597595,0.5528574541211129
10100,0.6299967169761658,
10200,0.4964715242385864,
10300,0.3233891725540161,
10400,0.6331217288970947,
10500,0.3082493245601654,
10500,0.3082493245601654,0.546289935708046
10600,0.5801568031311035,
10700,0.595749020576477,
10800,0.3861822187900543,
10900,0.3304908573627472,
11000,0.3258821964263916,
11000,0.3258821964263916,0.5360300868749619
11100,0.534133791923523,
11200,0.3373745083808899,
11300,0.48464855551719666,
11400,0.5802834033966064,
11500,0.5751080513000488,
11500,0.5751080513000488,0.5307792314887047
11600,0.5218712687492371,
11700,0.3810386657714844,
11800,0.4448447823524475,
11900,0.4504580497741699,
12000,0.5948367118835449,
12000,0.5948367118835449,0.5266484451293946
12100,0.5342467427253723,
12200,0.3839184641838074,
12300,0.32316428422927856,
12400,0.4870467782020569,
12500,0.6681035161018372,
12500,0.6681035161018372,0.5115597742795944
12600,0.5049728155136108,
12700,0.4603571891784668,
12800,0.5047594308853149,
12900,0.41477853059768677,
13000,0.48497474193573,
13000,0.48497474193573,0.5118670785427093
13100,0.6850957870483398,
13200,0.43111953139305115,
13300,0.3718748390674591,
13400,0.557526707649231,
13500,0.4208589196205139,
13500,0.4208589196205139,0.5025549408793449
13600,0.4083826541900635,
13700,0.35598641633987427,
13800,0.6278619766235352,
13900,0.48678451776504517,
14000,0.46745026111602783,
14000,0.46745026111602783,0.49407623618841173
14100,0.39431220293045044,
14200,0.5849635004997253,
14300,0.5246016979217529,
14400,0.35455936193466187,
14500,0.6348257660865784,
14500,0.6348257660865784,0.4938719469308853
14600,0.3176369071006775,
14700,0.2798885107040405,
14800,0.21588103473186493,
14900,0.33565753698349,
15000,0.3962484896183014,
15000,0.3962484896183014,0.48825492411851884
15100,0.3238012194633484,
15200,0.41518038511276245,
15300,0.5358715057373047,
15400,0.22887495160102844,
15500,0.24695000052452087,
15500,0.24695000052452087,0.48177193373441696
15600,0.2205643206834793,
15700,0.32390445470809937,
15800,0.49653100967407227,
15900,0.437256395816803,
16000,0.48648375272750854,
16000,0.48648375272750854,0.47938976109027864
16100,0.36297643184661865,
16200,0.41999301314353943,
16300,0.3930262327194214,
16400,0.3047869801521301,
16500,0.4671125113964081,
16500,0.4671125113964081,0.47669617503881456
16600,0.6142221689224243,
16700,0.327583909034729,
16800,0.3235592246055603,
16900,0.4489814341068268,
17000,0.36195826530456543,
17000,0.36195826530456543,0.4741606715321541
17100,0.4150455892086029,
17200,0.4589463472366333,
17300,0.3471469283103943,
17400,0.4830728769302368,
17500,0.2679230272769928,
17500,0.2679230272769928,0.47267177104949953
17600,0.4033244252204895,
17700,0.4357280731201172,
17800,0.3636569082736969,
17900,0.4608474373817444,
18000,0.589483380317688,
18000,0.589483380317688,0.4723323369026184
18100,0.24932122230529785,
18200,0.5050783157348633,
18300,0.4204268753528595,
18400,0.4482533037662506,
18500,0.3250192701816559,
18500,0.3250192701816559,0.4718632417917252
18600,0.4805562496185303,
18700,0.40846961736679077,
18800,0.3001585602760315,
18900,0.5241809487342834,
19000,0.34640809893608093,
19000,0.34640809893608093,0.47196802735328675
19100,0.6243283152580261,
19200,0.3736353814601898,
19300,0.4590352773666382,
19400,0.44066405296325684,
