,minilm-l6-v2,bert-base,gte-small,lstm-retriever,conv-retriever,mamba-retriever-fs
minilm-l6-v2,1.000,0.687,0.777,0.508,0.343,0.466
bert-base,0.687,1.000,0.723,0.637,0.411,0.641
gte-small,0.777,0.723,1.000,0.508,0.318,0.485
lstm-retriever,0.508,0.637,0.508,1.000,0.586,0.768
conv-retriever,0.343,0.411,0.318,0.586,1.000,0.529
mamba-retriever-fs,0.466,0.641,0.485,0.768,0.529,1.000
